1;Depp, Johnny
2;Damon, Matt
3;Clooney, George
4;Jolie, Angelina
5;Blanchett, Cate
6;Bale, Christian
7;Pitt, Brad
8;DiCaprio, Leonardo
9;Ledger, Heath
10;Portman, Natalie
11;Diaz, Cameron
12;Aniston, Jennifer
13;Neeson, Liam
14;Crowe, Russell
15;Banderas, Antonio (I)
16;Bullock, Sandra
17;Roberts, Julia (I)
18;Thurman, Uma
19;Smith, Will (I)
20;Hanks, Tom
